2025-12-18 01:15:27,986 | INFO | Automation started
2025-12-18 01:15:27,987 | INFO | Processed file: WIN_20240306_12_16_05_Pro.jpg
2025-12-18 01:15:27,989 | INFO | Processed file: zayaan.txt
2025-12-18 01:15:27,989 | INFO | Report generated successfully
2025-12-18 01:15:27,989 | INFO | Processed 2 files
2025-12-18 01:15:27,989 | INFO | Report saved to: C:\Users\manju\ipawork\ipa-document-processing-system\src\output\report.txt
2025-12-18 01:22:25,539 | INFO | Automation started
2025-12-18 01:22:25,540 | INFO | Processed file: WIN_20240306_12_16_05_Pro.jpg
2025-12-18 01:22:25,540 | INFO | Processed file: zayaan.txt
2025-12-18 01:22:25,544 | INFO | Report generated successfully
2025-12-18 01:22:25,544 | INFO | Processed 2 files
2025-12-18 01:22:25,544 | INFO | Report saved to: C:\Users\manju\ipawork\ipa-document-processing-system\src\output\report.txt
2025-12-18 01:23:13,688 | INFO | Automation started
2025-12-18 01:23:13,689 | INFO | Processed file: WIN_20240306_12_16_05_Pro.jpg
2025-12-18 01:23:13,689 | INFO | Processed file: zayaan.txt
2025-12-18 01:23:13,690 | INFO | Report generated successfully
2025-12-18 01:23:13,690 | INFO | Processed 2 files
2025-12-18 01:23:13,690 | INFO | Report saved to: C:\Users\manju\ipawork\ipa-document-processing-system\src\output\report.txt
2025-12-18 01:23:41,136 | INFO | Automation started
2025-12-18 01:23:41,137 | INFO | Processed file: zayaan.txt
2025-12-18 01:23:41,138 | INFO | Report generated successfully
2025-12-18 01:23:41,138 | INFO | Processed 1 files
2025-12-18 01:23:41,138 | INFO | Report saved to: C:\Users\manju\ipawork\ipa-document-processing-system\src\output\report.txt
2025-12-18 01:25:01,269 | INFO | Automation started
2025-12-18 01:25:01,270 | INFO | Processed file: WIN_20250424_19_04_10_Pro.jpg
2025-12-18 01:25:01,270 | INFO | Processed file: zayaan.txt
2025-12-18 01:25:01,271 | INFO | Report generated successfully
2025-12-18 01:25:01,271 | INFO | Processed 2 files
2025-12-18 01:25:01,271 | INFO | Report saved to: C:\Users\manju\ipawork\ipa-document-processing-system\src\output\report.txt
2025-12-18 01:26:10,377 | INFO | Automation started
2025-12-18 01:26:10,378 | INFO | Processed file: WIN_20250424_19_04_10_Pro.jpg
2025-12-18 01:26:10,379 | INFO | Processed file: zayaan.txt
2025-12-18 01:26:10,379 | INFO | Report generated successfully
2025-12-18 01:26:10,379 | INFO | Processed 2 files
2025-12-18 01:26:10,379 | INFO | Report saved to: C:\Users\manju\ipawork\ipa-document-processing-system\src\output\report.txt
2025-12-23 23:53:22,907 | INFO | Automation started
2025-12-23 23:53:22,907 | INFO | Input directory: C:\Users\manju\ipawork\ipa-document-processing-system\src\input
2025-12-23 23:53:22,907 | INFO | Output directory: C:\Users\manju\ipawork\ipa-document-processing-system\src\output
2025-12-23 23:53:22,907 | INFO | Recursive scan: False
2025-12-23 23:53:22,908 | WARNING | No text found in file: notext.txt
2025-12-23 23:53:22,980 | INFO | Processed file: sample.pdf
2025-12-23 23:53:22,981 | WARNING | Skipped unsupported file: shiny evidence 3.png
2025-12-23 23:53:22,981 | WARNING | Skipped unsupported file: WIN_20250424_19_04_10_Pro.jpg
2025-12-23 23:53:22,984 | INFO | Processed file: zayaan.txt
2025-12-23 23:53:22,985 | INFO | Report generated successfully
2025-12-23 23:53:22,985 | INFO | Processed 2 files
2025-12-23 23:53:22,985 | INFO | Report saved to: C:\Users\manju\ipawork\ipa-document-processing-system\src\output\report.txt
2025-12-23 23:53:49,869 | INFO | Automation started
2025-12-23 23:53:49,869 | INFO | Input directory: C:\Users\manju\ipawork\ipa-document-processing-system\src\input
2025-12-23 23:53:49,869 | INFO | Output directory: C:\Users\manju\ipawork\ipa-document-processing-system\src\output
2025-12-23 23:53:49,869 | INFO | Recursive scan: False
2025-12-23 23:53:49,870 | WARNING | No text found in file: notext.txt
2025-12-23 23:53:49,936 | INFO | Processed file: sample.pdf
2025-12-23 23:53:49,936 | WARNING | Skipped unsupported file: shiny evidence 3.png
2025-12-23 23:53:49,936 | WARNING | Skipped unsupported file: WIN_20250424_19_04_10_Pro.jpg
2025-12-23 23:53:49,936 | INFO | Processed file: zayaan.txt
2025-12-23 23:53:49,937 | INFO | Report generated successfully
2025-12-23 23:53:49,937 | INFO | Processed 2 files
2025-12-23 23:53:49,937 | INFO | Report saved to: C:\Users\manju\ipawork\ipa-document-processing-system\src\output\report.txt
